OTU ID	20-07-01-A-1	20-07-01-A-2	20-07-01-A-3	20-07-01-H-1	20-07-01-H-2	20-07-01-H-3	20-08-01-A-1	20-08-01-A-2	20-08-01-A-3	20-08-01-H-1	20-08-01-H-2	20-08-01-H-3	20-08-29-P-1	20-08-29-P-2	20-08-29-P-3	20-08-29-Q-1	20-08-29-Q-2	20-08-29-Q-3	20-09-05-A-1	20-09-05-A-2	20-09-05-A-3	20-09-05-H-1	20-09-05-H-2	20-09-05-H-3	20-09-26-P-1	20-09-26-P-2	20-09-26-P-3	20-09-26-Q-1	20-09-26-Q-2	20-09-26-Q-3	20-10-10-A-1	20-10-10-A-2	20-10-10-A-3	20-10-10-H-1	20-10-10-H-2	20-10-10-H-3	20-10-24-P-1	20-10-24-P-2	20-10-24-P-3	20-10-24-Q-1	20-10-24-Q-2	20-10-24-Q-3	20-11-07-A-1	20-11-07-A-2	20-11-07-A-3	20-11-07-H-1	20-11-07-H-2	20-11-07-H-3	20-11-28-P-1	20-11-28-P-2	20-11-28-P-3	20-11-28-Q-1	20-11-28-Q-2	20-11-28-Q-3	20-12-05-A-1	20-12-05-A-2	20-12-05-A-3	20-12-05-H-1	20-12-05-H-2	20-12-05-H-3	20-12-26-P-1	20-12-26-P-2	20-12-26-P-3	20-12-26-Q-1	20-12-26-Q-2	20-12-26-Q-3	21-01-09-A-1	21-01-09-A-2	21-01-09-A-3	21-01-09-H-1	21-01-09-H-2	21-01-09-H-3	21-01-23-P-1	21-01-23-P-2	21-01-23-P-3	21-01-23-Q-1	21-01-23-Q-2	21-01-23-Q-3	21-02-06-A-1	21-02-06-A-2	21-02-06-A-3	21-02-06-H-1	21-02-06-H-2	21-02-06-H-3	21-02-20-P-1	21-02-20-P-2	21-02-20-P-3	21-02-20-Q-1	21-02-20-Q-2	21-02-20-Q-3	21-03-06-A-1	21-03-06-A-2	21-03-06-A-3	21-03-06-H-1	21-03-06-H-2	21-03-06-H-3	taxonomy
OTU105	0	47	232	0	0	0	9	49	258	0	26	0	0	64	75	0	26	18	238	855	5221	0	34	29	7	325	286	0	94	99	0	81	291	0	0	0	0	535	677	0	16	18	0	248	193	0	0	0	0	320	422	0	147	254	0	7	47	0	26	15	0	91	441	0	53	130	6	14	159	0	0	0	0	16	76	0	0	20	0	7	22	0	19	26	0	100	0	0	0	3	0	157	349	0	0	0	d__Bacteria;p__Desulfobacterota;c__uncultured;o__uncultured;f__uncultured;g__uncultured;s__uncultured_bacterium
OTU106	0	325	17	0	98	32	0	239	17	0	145	55	0	55	6	0	87	12	0	99	63	0	61	18	0	93	393	0	348	0	0	328	54	0	48	36	0	2076	345	0	76	33	0	1324	303	0	190	293	0	1131	214	0	98	4	0	0	0	0	550	274	0	258	53	0	43	13	0	34	7	0	54	32	0	174	47	0	55	68	0	126	4	0	87	53	0	97	0	0	28	0	0	322	6	0	92	41	d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__SBR1031;g__SBR1031;s__metagenome
OTU107	1048	54	54	1814	0	28	50	40	46	43	25	28	329	76	144	580	58	57	86	210	83	66	33	40	217	53	17	464	37	43	1246	122	163	238	97	115	148	17	39	725	33	57	115	20	0	193	13	23	115	34	31	93	43	61	42	0	0	31	38	0	115	21	69	176	28	23	73	79	48	793	21	23	362	29	38	694	44	58	585	13	0	89	0	0	81	0	96	87	0	0	315	68	67	49	22	0	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbus_sp.
OTU108	0	145	1505	0	90	422	80	77	1096	0	63	17	0	106	253	0	694	1138	40	179	1367	0	128	66	9	512	1114	0	358	1111	0	7	355	0	278	398	0	2635	9093	0	83	318	0	135	76	0	189	265	0	290	1418	0	334	1158	0	0	2	0	60	39	0	6	229	0	136	1752	37	21	1023	0	35	15	35	300	766	0	244	941	0	21	125	0	184	131	0	4	0	0	12	37	0	253	675	0	45	12	d__Bacteria;p__Patescibacteria;c__ABY1;o__Candidatus_Magasanikbacteria;f__Candidatus_Magasanikbacteria;g__Candidatus_Magasanikbacteria;s__uncultured_bacterium
OTU109	0	175	114	0	4	7	8	153	82	0	312	99	0	0	0	0	40	52	0	55	123	0	709	467	0	0	0	0	104	9	0	392	150	0	251	200	0	0	0	0	11	0	0	1216	320	0	446	867	0	0	0	0	0	0	0	3	0	0	711	397	0	0	0	0	4	3	0	49	17	0	384	296	0	0	0	0	0	6	0	98	12	0	457	212	0	0	0	0	0	0	0	202	48	0	391	396	d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales;g__Kapabacteriales;__
OTU110	0	208	85	0	124	32	0	158	189	0	332	65	0	46	0	0	48	19	0	207	199	0	51	22	0	42	65	0	417	22	0	653	279	0	0	0	0	219	82	0	75	24	0	1154	423	0	0	0	0	62	37	0	99	19	0	138	19	0	46	29	0	47	38	0	141	12	0	138	73	0	93	83	0	66	19	0	200	76	0	155	22	0	587	401	0	75	0	0	139	60	0	363	58	0	665	412	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__uncultured;s__Sphingobium_sp.
OTU111	0	948	4159	0	0	0	163	294	900	0	0	0	0	0	0	0	236	285	0	35	260	0	0	0	0	0	0	0	196	204	0	14	36	0	0	0	0	0	0	0	174	237	0	28	10	0	0	0	0	0	0	0	149	336	0	0	6	0	0	0	0	0	49	0	72	109	8	21	181	0	0	0	4	17	50	0	294	483	0	56	68	0	0	0	0	0	0	0	49	90	0	144	262	0	0	0	d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__cvE6;g__cvE6;__
OTU112	0	0	6	0	38	75	0	65	162	0	0	0	0	0	4	0	116	152	0	5	12	0	0	0	2	117	83	0	0	21	0	10	23	0	0	0	0	0	0	0	0	7	0	11	9	0	0	0	0	0	0	0	33	45	0	4	3	0	0	0	0	9	44	0	154	225	0	6	15	0	0	0	13	188	257	0	63	24	0	50	73	0	0	0	0	28	0	0	24	0	0	4338	4415	0	0	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family;g__Candidatus_Berkiella;s__uncultured_bacterium
OTU113	0	200	809	0	207	308	45	67	507	0	22	6	0	21	41	0	638	1620	22	186	731	0	52	23	4	42	93	0	62	203	0	172	413	0	67	84	0	202	370	0	26	65	0	791	407	0	605	1606	0	10	24	0	0	38	0	0	18	0	522	267	0	0	0	0	0	22	0	19	167	0	44	37	0	20	44	0	90	176	0	0	8	0	110	58	0	2	0	0	9	9	0	26	32	0	154	65	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Micrarchaeales;f__Micrarchaeales;g__Micrarchaeales;s__uncultured_archaeon
OTU114	0	0	3	0	0	26	0	0	66	0	0	0	0	305	92	0	9	0	0	0	0	0	0	0	208	2947	4085	0	31	0	0	0	7	0	0	0	0	0	35	0	7	0	0	0	0	0	0	0	0	420	495	0	27	13	0	0	0	0	0	0	0	28	95	0	185	27	0	5	10	0	0	0	0	0	120	0	36	29	0	13	369	0	0	0	0	522	0	0	14	71	0	0	0	0	19	0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Terrimonas;__
